"Player","Tm","Season","OWS"
"Michael Jordan*","CHI","1987-1988",15.2
"Michael Jordan*","CHI","1989-1990",14.7
"Michael Jordan*","CHI","1988-1989",14.6
"Charles Barkley*","PHI","1987-1988",13.4
"Charles Barkley*","PHI","1988-1989",13.2
"Charles Barkley*","PHI","1989-1990",13.1
"Adrian Dantley*","UTA","1983-1984",13
"Magic Johnson*","LAL","1989-1990",12.8
"Adrian Dantley*","UTA","1980-1981",12.3
"Magic Johnson*","LAL","1986-1987",12.1
"Magic Johnson*","LAL","1988-1989",12.1
"Adrian Dantley*","UTA","1981-1982",11.9
"Michael Jordan*","CHI","1986-1987",11.9
"Moses Malone*","HOU","1981-1982",11.7
"Larry Bird*","BOS","1987-1988",11.2
"Kevin McHale*","BOS","1986-1987",10.8
"Reggie Miller*","IND","1989-1990",10.8
"Kiki Vandeweghe","DEN","1982-1983",10.5
"Larry Bird*","BOS","1984-1985",10.5
"Karl Malone*","UTA","1989-1990",10.5
"Adrian Dantley*","UTA","1985-1986",10.4
"Larry Bird*","BOS","1986-1987",10.4
"John Stockton*","UTA","1989-1990",10.4
"Michael Jordan*","CHI","1984-1985",10.3
"John Stockton*","UTA","1988-1989",9.8
"Sidney Moncrief*","MIL","1982-1983",9.7
"Kiki Vandeweghe","DEN","1983-1984",9.7
"Kareem Abdul-Jabbar*","LAL","1980-1981",9.6
"Larry Bird*","BOS","1985-1986",9.6
"Kiki Vandeweghe","POR","1986-1987",9.6
