"Player","Tm","Season","WS"
"Michael Jordan*","CHI","1987-1988",21.2
"Michael Jordan*","CHI","1988-1989",19.8
"Michael Jordan*","CHI","1989-1990",19
"Charles Barkley*","PHI","1989-1990",17.3
"Michael Jordan*","CHI","1986-1987",16.9
"Charles Barkley*","PHI","1987-1988",16.7
"Magic Johnson*","LAL","1989-1990",16.5
"Charles Barkley*","PHI","1988-1989",16.1
"Magic Johnson*","LAL","1988-1989",16.1
"Magic Johnson*","LAL","1986-1987",15.9
"Karl Malone*","UTA","1989-1990",15.9
"Larry Bird*","BOS","1985-1986",15.8
"Larry Bird*","BOS","1984-1985",15.7
"John Stockton*","UTA","1988-1989",15.6
"Moses Malone*","HOU","1981-1982",15.4
"Larry Bird*","BOS","1986-1987",15.2
"Karl Malone*","UTA","1988-1989",15.2
"Moses Malone*","PHI","1982-1983",15.1
"David Robinson*","SAS","1989-1990",15.1
"Larry Bird*","BOS","1987-1988",15
"Kevin McHale*","BOS","1986-1987",14.8
"Adrian Dantley*","UTA","1983-1984",14.6
"John Stockton*","UTA","1989-1990",14.4
"Kareem Abdul-Jabbar*","LAL","1980-1981",14.3
"John Stockton*","UTA","1987-1988",14.1
"Larry Bird*","BOS","1982-1983",14
"Michael Jordan*","CHI","1984-1985",14
"Julius Erving*","PHI","1980-1981",13.8
"Moses Malone*","HOU","1980-1981",13.7
"Adrian Dantley*","UTA","1980-1981",13.6
