"Player","Tm","Season","PER"
"Magic Johnson*","LAL","1980-1981",25.7
"Kareem Abdul-Jabbar*","LAL","1980-1981",25.5
"Robert Parish*","BOS","1980-1981",25.2
"Julius Erving*","PHI","1980-1981",25.1
"Moses Malone*","HOU","1980-1981",25.1
"Adrian Dantley*","UTA","1980-1981",24.3
"George Gervin*","SAS","1980-1981",22.9
"Marques Johnson","MIL","1980-1981",22
"Artis Gilmore*","CHI","1980-1981",21.7
"Dan Issel*","DEN","1980-1981",21.7
"Moses Malone*","HOU","1981-1982",26.8
"Julius Erving*","PHI","1981-1982",25.9
"Adrian Dantley*","UTA","1981-1982",24.2
"George Gervin*","SAS","1981-1982",24.2
"Kareem Abdul-Jabbar*","LAL","1981-1982",23.4
"Dan Issel*","DEN","1981-1982",23.1
"Magic Johnson*","LAL","1981-1982",22.9
"Larry Bird*","BOS","1981-1982",22.6
"Robert Parish*","BOS","1981-1982",22.6
"Artis Gilmore*","CHI","1981-1982",22.4
"Moses Malone*","PHI","1982-1983",25.1
"Adrian Dantley*","UTA","1982-1983",24.4
"Larry Bird*","BOS","1982-1983",24.1
"Alex English*","DEN","1982-1983",24.1
"Kareem Abdul-Jabbar*","LAL","1982-1983",23.6
"Julius Erving*","PHI","1982-1983",23.1
"Magic Johnson*","LAL","1982-1983",23
"Robert Parish*","BOS","1982-1983",23
"Terry Cummings","SDC","1982-1983",22.8
"Sidney Moncrief*","MIL","1982-1983",22.6
"Adrian Dantley*","UTA","1983-1984",24.6
"Larry Bird*","BOS","1983-1984",24.2
"Kiki Vandeweghe","DEN","1983-1984",23.6
"Mark Aguirre","DAL","1983-1984",23.5
"Julius Erving*","PHI","1983-1984",22.9
"Bernard King*","NYK","1983-1984",22.7
"Magic Johnson*","LAL","1983-1984",22.6
"Alex English*","DEN","1983-1984",22.2
"Moses Malone*","PHI","1983-1984",21.8
"Kareem Abdul-Jabbar*","LAL","1983-1984",21.3
"Larry Bird*","BOS","1984-1985",26.5
"Michael Jordan*","CHI","1984-1985",25.8
"Bernard King*","NYK","1984-1985",25.2
"Magic Johnson*","LAL","1984-1985",23.2
"Kareem Abdul-Jabbar*","LAL","1984-1985",22.9
"Moses Malone*","PHI","1984-1985",22.5
"Isiah Thomas*","DET","1984-1985",22.2
"Terry Cummings","MIL","1984-1985",22.1
"Adrian Dantley*","UTA","1984-1985",21.9
"Calvin Natt","DEN","1984-1985",21.8
"Larry Bird*","BOS","1985-1986",25.6
"Adrian Dantley*","UTA","1985-1986",24.6
"Hakeem Olajuwon*","HOU","1985-1986",24.2
"Magic Johnson*","LAL","1985-1986",24
"Dominique Wilkins*","ATL","1985-1986",23.3
"Kareem Abdul-Jabbar*","LAL","1985-1986",22.7
"Charles Barkley*","PHI","1985-1986",22.4
"Alex English*","DEN","1985-1986",21.7
"Kevin McHale*","BOS","1985-1986",21.6
"Isiah Thomas*","DET","1985-1986",21.2
"Michael Jordan*","CHI","1986-1987",29.8
"Magic Johnson*","LAL","1986-1987",27
"Larry Bird*","BOS","1986-1987",26.4
"Charles Barkley*","PHI","1986-1987",25.1
"Kevin McHale*","BOS","1986-1987",24
"Moses Malone*","WSB","1986-1987",23.8
"Hakeem Olajuwon*","HOU","1986-1987",23.8
"Dominique Wilkins*","ATL","1986-1987",23.5
"Larry Nance","PHO","1986-1987",22.2
"Mark Aguirre","DAL","1986-1987",22.1
"Michael Jordan*","CHI","1987-1988",31.7
"Larry Bird*","BOS","1987-1988",27.8
"Charles Barkley*","PHI","1987-1988",27.6
"Clyde Drexler*","POR","1987-1988",24.1
"Dominique Wilkins*","ATL","1987-1988",23.7
"Hakeem Olajuwon*","HOU","1987-1988",23.4
"John Stockton*","UTA","1987-1988",23.2
"Magic Johnson*","LAL","1987-1988",23.1
"Mark Aguirre","DAL","1987-1988",21.9
"Patrick Ewing*","NYK","1987-1988",21.9
"Michael Jordan*","CHI","1988-1989",31.1
"Charles Barkley*","PHI","1988-1989",27
"Magic Johnson*","LAL","1988-1989",26.9
"Hakeem Olajuwon*","HOU","1988-1989",25.2
"Karl Malone*","UTA","1988-1989",24.4
"Clyde Drexler*","POR","1988-1989",23.6
"John Stockton*","UTA","1988-1989",22.9
"Patrick Ewing*","NYK","1988-1989",22.1
"Chris Mullin*","GSW","1988-1989",21.9
"Dominique Wilkins*","ATL","1988-1989",21.8
"Michael Jordan*","CHI","1989-1990",31.2
"Karl Malone*","UTA","1989-1990",27.2
"Charles Barkley*","PHI","1989-1990",27.1
"Magic Johnson*","LAL","1989-1990",26.6
"David Robinson*","SAS","1989-1990",26.3
"Patrick Ewing*","NYK","1989-1990",25.8
"Dominique Wilkins*","ATL","1989-1990",24.6
"Hakeem Olajuwon*","HOU","1989-1990",24.1
"John Stockton*","UTA","1989-1990",23.9
"Derrick Gervin","NJN","1989-1990",22.9
