Player,Tm,BPM,SeasonLabel
Michael Jordan*,CHI,13.0,1987-1988
Michael Jordan*,CHI,11.9,1988-1989
Michael Jordan*,CHI,11.2,1989-1990
Michael Jordan*,CHI,10.8,1986-1987
Magic Johnson*,LAL,10.1,1989-1990
Larry Bird*,BOS,9.4,1986-1987
Magic Johnson*,LAL,9.4,1988-1989
John Stockton*,UTA,8.9,1989-1990
Larry Bird*,BOS,8.8,1987-1988
Magic Johnson*,LAL,8.8,1980-1981
Magic Johnson*,LAL,8.8,1986-1987
Larry Bird*,BOS,8.8,1984-1985
Larry Bird*,BOS,8.7,1985-1986
John Stockton*,UTA,8.5,1987-1988
John Stockton*,UTA,8.3,1988-1989
Charles Barkley*,PHI,8.2,1989-1990
Julius Erving*,PHI,7.7,1981-1982
Larry Bird*,BOS,7.6,1983-1984
Larry Bird*,BOS,7.5,1982-1983
Charles Barkley*,PHI,7.5,1988-1989
