Player,Tm,OWS,SeasonLabel
Michael Jordan*,CHI,15.2,1987-1988
Michael Jordan*,CHI,14.7,1989-1990
Michael Jordan*,CHI,14.6,1988-1989
Charles Barkley*,PHI,13.4,1987-1988
Charles Barkley*,PHI,13.2,1988-1989
Charles Barkley*,PHI,13.1,1989-1990
Adrian Dantley*,UTA,13.0,1983-1984
Magic Johnson*,LAL,12.8,1989-1990
Adrian Dantley*,UTA,12.3,1980-1981
Magic Johnson*,LAL,12.1,1986-1987
Magic Johnson*,LAL,12.1,1988-1989
Michael Jordan*,CHI,11.9,1986-1987
Adrian Dantley*,UTA,11.9,1981-1982
Moses Malone*,HOU,11.7,1981-1982
Larry Bird*,BOS,11.2,1987-1988
Kevin McHale*,BOS,10.8,1986-1987
Reggie Miller*,IND,10.8,1989-1990
Karl Malone*,UTA,10.5,1989-1990
Larry Bird*,BOS,10.5,1984-1985
Kiki Vandeweghe,DEN,10.5,1982-1983
