Player,Tm,PER,SeasonLabel
Michael Jordan*,CHI,31.7,1987-1988
Michael Jordan*,CHI,31.2,1989-1990
Michael Jordan*,CHI,31.1,1988-1989
Michael Jordan*,CHI,29.8,1986-1987
Larry Bird*,BOS,27.8,1987-1988
Charles Barkley*,PHI,27.6,1987-1988
Karl Malone*,UTA,27.2,1989-1990
Charles Barkley*,PHI,27.1,1989-1990
Magic Johnson*,LAL,27.0,1986-1987
Charles Barkley*,PHI,27.0,1988-1989
Magic Johnson*,LAL,26.9,1988-1989
Moses Malone*,HOU,26.8,1981-1982
Magic Johnson*,LAL,26.6,1989-1990
Larry Bird*,BOS,26.5,1984-1985
Larry Bird*,BOS,26.4,1986-1987
David Robinson*,SAS,26.3,1989-1990
Julius Erving*,PHI,25.9,1981-1982
Michael Jordan*,CHI,25.8,1984-1985
Patrick Ewing*,NYK,25.8,1989-1990
Magic Johnson*,LAL,25.7,1980-1981
