Player,Tm,Season,custom_impact_v1,dependence_score,dependence_rank,advanced_rank_avg,burden_gap
Michael Jordan*,CHI,1989-1990,2.8117622205486743,9.699598994937235,1.0,1.3333333333333333,0.33333333333333326
Hakeem Olajuwon*,HOU,1989-1990,2.7346855020214753,8.816632498713629,4.0,10.333333333333334,6.333333333333334
David Robinson*,SAS,1989-1990,2.565508213486569,7.937227206528175,9.0,6.0,-3.0
Magic Johnson*,LAL,1989-1990,2.527301864767524,9.364723275178303,2.0,3.3333333333333335,1.3333333333333335
Patrick Ewing*,NYK,1989-1990,2.499858090802198,8.339371757212374,7.0,9.0,2.0
Charles Barkley*,PHI,1989-1990,2.4051104269043933,8.651466443776446,5.0,3.3333333333333335,-1.6666666666666665
John Stockton*,UTA,1989-1990,2.3660832488137866,8.631705517772186,6.0,6.666666666666667,0.666666666666667
Karl Malone*,UTA,1989-1990,2.3586443998575755,9.185205491086782,3.0,5.0,2.0
Larry Bird*,BOS,1989-1990,2.0169598879898194,8.019846773413638,8.0,17.333333333333332,9.333333333333332
Kevin Johnson,PHO,1989-1990,1.896215715473614,7.6753162599511695,11.0,13.0,2.0
Fat Lever,DEN,1989-1990,1.8501853565683573,7.2095887962608955,13.0,23.666666666666668,10.666666666666668
Clyde Drexler*,POR,1989-1990,1.7468840338018028,6.155162165239389,27.0,10.0,-17.0
Dominique Wilkins*,ATL,1989-1990,1.692736860144391,6.437220851608911,19.0,12.0,-7.0
Terry Porter,POR,1989-1990,1.690305597059907,6.530319804190488,18.0,14.666666666666666,-3.333333333333334
Derek Harper,DAL,1989-1990,1.688718133205973,7.1058190062377244,14.0,23.0,9.0
Chris Mullin*,GSW,1989-1990,1.679259318139617,6.292223336088151,24.0,15.666666666666666,-8.333333333333334
Kevin McHale*,BOS,1989-1990,1.6244944748762493,5.437195512739301,39.0,20.333333333333332,-18.666666666666668
Darrell Walker,WSB,1989-1990,1.5909739674937566,6.97320013364482,15.0,69.66666666666667,54.66666666666667
Scottie Pippen*,CHI,1989-1990,1.584934617022379,6.611680342889459,17.0,66.0,49.0
Mark Price,CLE,1989-1990,1.577869901555406,6.406085439622393,21.0,18.333333333333332,-2.666666666666668
